YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,DJF,MAM,JJA,SON,metANN
1880,-1.8,0.1,1.5,6.9,10.5,14.9,17.3,17.7,14.3,5.4,3.4,1.2,-0.3,6.3,16.6,7.7,7.59
1881,-4.4,-2.9,-1.0,3.8,11.1,14.9,16.3,14.7,12.0,6.0,5.1,2.6,-2.0,4.6,15.3,7.7,6.40
1882,2.1,2.5,5.0,6.9,11.0,14.6,17.5,16.2,14.3,8.7,2.5,-0.8,2.4,7.6,16.1,8.5,8.66
1883,-0.6,0.9,-1.6,5.0,11.3,16.1,17.6,15.5,13.1,8.6,5.0,1.3,-0.2,4.9,16.4,8.9,7.51
1884,2.6,2.6,2.7,4.8,10.9,14.4,17.5,16.7,14.9,8.7,1.3,1.3,2.2,6.1,16.2,8.3,8.20
1885,-0.4,1.3,2.1,7.0,9.2,14.9,17.3,14.1,11.6,6.4,2.5,1.0,0.7,6.1,15.4,6.8,7.28
1886,-0.4,-1.9,-0.9,6.9,11.4,14.5,15.9,16.3,13.7,9.1,5.6,0.4,-0.4,5.8,15.6,9.5,7.60
1887,-0.7,-0.1,1.2,5.7,10.2,15.4,17.7,15.6,12.6,6.4,3.4,0.3,-0.1,5.7,16.2,7.5,7.32
1888,-0.9,-2.1,-3.2,2.8,10.4,14.1,14.9,15.0,12.6,6.4,3.9,2.8,-0.9,3.3,14.7,7.6,6.18
1889,-0.5,-3.3,-0.6,5.3,14.2,19.4,16.5,15.2,10.9,8.8,4.8,0.6,-0.3,6.3,17.0,8.2,7.79
1890,1.9,-0.2,2.8,6.0,12.9,14.2,15.3,16.0,13.5,7.8,4.1,-2.2,0.8,7.2,15.2,8.5,7.91
1891,-3.5,0.3,1.0,4.9,10.9,14.5,17.6,15.0,13.7,10.3,3.2,2.6,-1.8,5.6,15.7,9.1,7.14
1892,-1.1,-0.3,0.5,5.9,11.0,14.6,15.7,16.2,13.3,7.8,4.2,-1.5,0.4,5.8,15.5,8.4,7.53
1893,-6.7,-2.7,2.4,6.9,10.9,15.6,17.9,16.9,11.8,9.0,2.6,2.8,-3.6,6.7,16.8,7.8,6.93
1894,-0.2,1.3,3.9,7.7,11.0,15.5,18.0,15.6,11.0,6.7,6.3,2.6,1.3,7.5,16.4,8.0,8.30
1895,-1.7,-6.2,0.4,7.2,12.8,15.9,16.1,16.4,13.9,7.5,4.6,0.3,-1.8,6.8,16.1,8.7,7.46
1896,0.4,1.6,3.2,5.9,11.5,18.5,18.6,15.7,12.8,9.0,2.7,0.3,0.8,6.9,17.6,8.2,8.35
1897,-2.1,-0.7,2.3,6.1,11.5,17.0,16.6,18.3,12.5,7.6,4.4,2.7,-0.8,6.6,17.3,8.2,7.82
1898,3.3,1.4,1.6,4.8,10.0,14.7,14.2,16.4,13.4,8.2,5.7,4.2,2.5,5.5,15.1,9.1,8.03
1899,1.6,1.7,1.5,6.3,11.4,15.0,19.0,16.6,12.3,8.1,7.2,-0.5,2.5,6.4,16.9,9.2,8.74
1900,-0.4,-1.2,0.2,5.1,9.4,15.9,17.7,16.8,13.0,8.2,5.1,3.5,-0.7,4.9,16.8,8.8,7.44
1901,-1.5,-3.4,0.7,6.2,12.2,14.6,19.9,17.5,13.6,10.3,3.4,1.1,-0.5,6.4,17.3,9.1,8.08
1902,2.8,-2.3,1.7,4.6,8.7,14.8,14.7,13.3,11.0,7.3,2.7,-0.4,0.5,5.0,14.3,7.0,6.70
1903,0.3,2.7,4.7,4.3,12.1,15.5,16.4,14.2,12.4,8.1,3.3,0.9,0.9,7.0,15.4,7.9,7.80
1904,0.2,-0.4,1.4,6.5,10.2,14.9,17.1,16.1,12.8,8.1,4.4,2.8,0.2,6.0,16.0,8.4,7.68
1905,-0.2,0.7,2.7,3.8,11.9,17.1,17.6,15.9,12.3,5.0,3.4,1.7,1.1,6.1,16.9,6.9,7.75
1906,0.9,0.4,1.6,7.5,12.9,16.4,17.1,16.6,13.4,9.4,7.1,-1.0,1.0,7.3,16.7,10.0,8.75
1907,-0.3,-0.7,2.0,5.0,10.5,13.8,15.6,14.1,12.2,11.8,4.8,1.2,-0.7,5.8,14.5,9.6,7.32
1908,0.0,1.6,1.2,4.9,10.7,15.5,18.4,15.7,12.5,9.3,2.6,1.0,0.9,5.6,16.5,8.1,7.80
1909,-0.1,-2.2,-0.6,4.5,8.9,14.4,15.4,15.5,12.4,11.0,1.5,2.0,-0.4,4.3,15.1,8.3,6.81
1910,1.0,1.6,3.5,6.7,12.0,16.9,17.1,16.6,13.0,9.1,3.0,2.9,1.5,7.4,16.9,8.4,8.54
1911,1.2,1.3,2.6,6.5,13.3,15.1,17.1,18.3,14.1,8.4,5.2,3.2,1.8,7.5,16.8,9.2,8.83
1912,-2.5,-1.6,3.7,6.2,10.8,14.9,18.9,15.3,10.5,7.1,3.3,4.2,-0.3,6.9,16.4,7.0,7.48
1913,0.0,1.1,4.0,7.0,12.4,15.1,16.3,15.4,13.1,8.8,6.9,2.5,1.8,7.8,15.6,9.6,8.69
1914,-0.8,3.1,2.8,8.3,11.3,16.1,20.3,17.6,13.2,8.6,3.9,3.7,1.6,7.5,18.0,8.6,8.91
1915,-0.4,0.4,-0.1,6.6,10.6,15.1,16.0,15.5,12.6,6.7,2.5,0.5,1.2,5.7,15.5,7.3,7.43
1916,2.9,0.4,0.9,7.0,11.5,13.0,16.8,15.7,11.8,7.8,5.6,2.2,1.3,6.5,15.2,8.4,7.83
1917,-1.6,-2.5,-1.9,3.8,11.7,18.5,18.0,17.7,13.3,7.8,5.4,0.1,-0.6,4.5,18.1,8.8,7.70
1918,-0.7,0.6,2.0,7.4,12.7,13.7,16.5,16.5,11.7,9.2,4.6,2.5,0.0,7.4,15.6,8.5,7.86
1919,1.3,1.0,0.5,5.8,12.3,15.0,16.0,14.5,13.4,7.0,0.7,0.2,1.6,6.2,15.2,7.0,7.50
1920,0.6,2.4,4.7,7.8,11.6,14.7,17.4,15.5,13.1,6.8,4.2,1.7,1.1,8.0,15.9,8.0,8.25
1921,3.2,1.6,5.1,8.4,13.6,14.7,17.3,15.7,12.5,10.0,1.9,2.1,2.2,9.0,15.9,8.1,8.81
1922,-1.5,-2.1,2.0,4.6,12.0,14.2,15.4,14.5,11.6,5.4,3.2,3.4,-0.5,6.2,14.7,6.7,6.78
1923,2.4,-1.0,3.1,4.7,9.4,11.7,17.2,14.5,12.6,9.8,3.3,-1.0,1.6,5.7,14.5,8.6,7.59
1924,-2.6,-2.9,-0.3,3.7,10.7,14.2,15.6,16.1,14.1,9.9,5.5,3.9,-2.2,4.7,15.3,9.8,6.92
1925,3.7,3.4,1.2,7.2,13.2,14.9,19.2,17.0,12.3,7.5,2.5,-0.4,3.7,7.2,17.0,7.4,8.83
1926,0.9,0.5,2.8,7.4,10.8,14.8,18.6,17.4,13.3,7.1,6.3,2.3,0.3,7.0,16.9,8.9,8.29
1927,2.7,1.0,5.3,5.9,8.7,12.5,18.1,17.4,13.5,9.0,2.9,-2.1,2.0,6.6,16.0,8.5,8.28
1928,0.9,2.0,1.8,6.0,10.3,12.7,15.9,15.6,12.8,9.0,6.8,1.2,0.3,6.0,14.7,9.5,7.64
1929,-2.2,-6.0,2.2,3.2,11.9,13.5,16.0,16.3,14.2,9.9,6.2,4.4,-2.3,5.8,15.3,10.1,7.20
1930,3.3,0.2,2.8,7.1,11.5,16.5,17.4,16.5,13.1,9.8,6.1,2.8,2.6,7.1,16.8,9.7,9.06
1931,0.7,-0.4,-0.6,4.6,13.3,13.8,16.5,15.9,11.3,8.1,6.0,2.4,1.0,5.8,15.4,8.5,7.67
1932,3.1,0.8,0.8,6.4,12.3,14.8,18.9,18.0,13.7,8.6,5.5,3.4,2.1,6.5,17.2,9.3,8.78
1933,0.0,0.4,3.8,6.2,11.4,16.7,18.2,17.2,14.1,9.8,4.5,0.4,1.3,7.1,17.4,9.5,8.81
1934,1.7,3.2,3.8,8.0,12.7,15.5,18.8,17.0,15.9,10.6,6.2,5.4,1.8,8.2,17.1,10.9,9.48
1935,0.3,2.0,2.9,7.2,10.3,16.3,17.6,17.1,13.7,9.4,6.0,2.2,2.6,6.8,17.0,9.7,9.02
1936,2.8,-0.9,2.5,5.3,11.6,17.2,17.8,16.8,13.1,7.4,5.4,3.6,1.4,6.5,17.3,8.6,8.43
1937,-0.3,0.8,1.1,6.8,12.7,15.3,18.0,18.9,14.3,10.5,4.2,0.5,1.4,6.9,17.4,9.7,8.83
1938,2.1,2.0,6.6,6.8,10.9,14.8,17.4,18.8,15.0,10.3,8.1,1.3,1.5,8.1,17.0,11.1,9.44
1939,1.9,3.3,2.0,6.9,11.1,16.7,17.8,19.2,14.6,6.8,5.2,0.8,2.2,6.7,17.9,8.9,8.90
1940,-4.1,-6.7,-0.3,4.2,11.5,17.5,17.3,15.4,11.6,7.3,5.6,0.3,-3.3,5.1,16.7,8.2,6.68
1941,-5.8,-2.7,0.9,4.1,9.6,16.0,19.9,15.9,12.7,8.0,2.8,2.5,-2.7,4.9,17.3,7.8,6.81
1942,-6.4,-6.3,-4.0,5.7,10.7,13.4,16.0,17.5,14.1,10.0,4.3,3.2,-3.4,4.1,15.6,9.5,6.46
1943,-0.6,3.8,4.4,8.7,12.6,15.7,17.9,16.7,14.0,10.5,4.6,2.1,2.1,8.6,16.8,9.7,9.29
1944,3.0,1.0,1.5,6.0,10.4,14.2,18.6,19.5,13.4,9.9,4.8,2.2,2.0,6.0,17.4,9.4,8.70
1945,-1.0,2.1,5.0,7.9,11.8,15.6,18.2,17.9,14.1,10.1,6.0,2.3,1.1,8.2,17.2,10.1,9.16
1946,0.2,0.7,1.5,8.2,12.3,14.1,18.8,16.6,14.0,7.4,4.9,1.0,1.1,7.3,16.5,8.8,8.42
1947,-2.4,-6.6,-2.0,6.3,13.6,17.7,18.2,19.8,15.8,8.8,5.0,2.2,-2.7,6.0,18.6,9.9,7.93
1948,1.1,0.3,4.0,8.8,12.1,16.0,17.5,17.3,14.4,8.8,5.0,3.3,1.2,8.3,16.9,9.4,8.96
1949,2.2,3.0,1.8,7.8,12.6,15.3,18.7,16.4,16.6,11.4,6.3,3.9,2.8,7.4,16.8,11.4,9.62
1950,-0.7,1.8,4.3,6.8,13.3,16.7,17.3,18.4,13.8,9.3,4.9,1.1,1.7,8.1,17.5,9.3,9.15
1951,0.8,1.1,0.4,6.6,10.8,15.8,16.7,17.2,14.8,9.5,7.2,4.7,1.0,5.9,16.6,10.5,8.50
1952,1.4,1.4,0.5,8.8,11.8,13.9,16.4,16.7,11.5,7.4,3.0,1.0,2.5,7.0,15.7,7.3,8.13
1953,0.6,-0.3,4.0,7.8,12.6,17.6,17.8,16.8,13.4,11.2,7.3,3.6,0.4,8.1,17.4,10.6,9.15
1954,-0.5,-2.7,1.6,5.6,12.8,16.1,15.4,15.4,13.3,9.7,4.8,4.0,0.1,6.7,15.6,9.3,7.93
1955,-0.4,-2.3,-0.4,5.5,9.6,13.8,19.7,19.6,14.9,9.5,5.4,2.2,0.4,4.9,17.7,9.9,8.24
1956,0.4,-5.5,1.4,4.6,12.0,14.6,17.5,14.2,13.4,8.5,3.1,3.5,-1.0,6.0,15.4,8.3,7.20
1957,2.4,2.7,3.2,6.7,10.4,15.9,17.9,16.3,11.7,10.0,5.6,2.2,2.9,6.8,16.7,9.1,8.86
1958,-0.2,-0.8,-1.1,4.8,11.4,14.7,17.3,15.9,14.6,10.7,6.5,3.1,0.4,5.0,16.0,10.6,8.00
1959,1.1,1.4,4.6,7.9,12.5,16.3,19.4,18.7,14.7,10.4,6.2,3.2,1.9,8.3,18.1,10.4,9.69
1960,-0.2,-0.6,2.5,6.4,12.6,16.9,16.1,16.8,13.5,8.9,6.3,3.3,0.8,7.2,16.6,9.6,8.53
1961,1.1,3.5,6.0,8.8,11.6,17.1,15.6,15.5,15.2,11.8,5.2,0.6,2.6,8.8,16.1,10.7,9.56
1962,2.1,1.5,0.4,7.2,9.9,14.9,15.5,14.6,12.7,10.1,4.9,-0.4,1.4,5.8,15.0,9.2,7.87
1963,-4.1,-3.9,-0.2,5.5,12.8,16.5,17.5,16.6,13.7,9.6,7.2,0.2,-2.8,6.0,16.9,10.2,7.57
1964,0.9,0.2,0.1,7.9,12.7,15.8,16.1,15.9,13.6,8.9,6.1,2.5,0.4,6.9,15.9,9.5,8.20
1965,1.7,-0.5,1.8,6.5,9.9,15.8,14.5,15.7,14.3,9.9,2.6,1.3,1.2,6.1,15.3,8.9,7.89
1966,-1.7,-1.0,3.3,3.9,12.4,16.9,17.0,15.7,13.3,10.1,4.9,2.5,-0.5,6.5,16.5,9.4,8.01
1967,0.2,2.7,5.6,6.5,12.1,15.2,17.7,17.1,14.7,11.3,6.3,1.6,1.8,8.1,16.7,10.8,9.33
1968,-0.4,0.2,4.4,8.6,10.4,17.2,16.3,18.1,14.9,9.9,5.8,0.8,0.5,7.8,17.2,10.2,8.92
1969,0.6,-1.1,0.2,6.2,11.1,16.8,18.2,18.6,15.2,10.9,5.2,-1.1,0.1,5.8,17.9,10.4,8.56
1970,-1.7,-2.7,0.7,4.5,11.5,18.2,16.2,17.4,13.0,9.4,5.5,2.8,-1.8,5.6,17.3,9.3,7.58
1971,1.1,2.3,1.1,6.7,13.1,14.6,18.1,17.6,13.1,10.2,5.1,5.2,2.1,7.0,16.8,9.5,8.82
1972,-0.9,1.2,3.6,7.0,11.5,15.4,18.8,17.0,12.2,9.1,6.0,4.4,1.8,7.4,17.1,9.1,8.84
1973,1.8,3.1,5.6,5.9,12.2,17.1,19.0,17.5,13.7,8.1,4.2,1.7,3.1,7.9,17.9,8.7,9.38
1974,3.2,3.5,4.2,9.0,11.7,15.5,15.6,17.3,14.1,7.6,6.0,5.2,2.8,8.3,16.1,9.2,9.12
1975,5.0,2.2,3.4,6.3,12.1,15.9,18.9,20.6,15.8,9.5,5.2,4.4,4.1,7.3,18.5,10.2,10.01
1976,0.9,0.8,0.7,6.7,11.8,16.3,18.9,18.6,13.2,9.5,6.0,0.8,2.0,6.4,17.9,9.6,8.98
1977,0.7,0.9,3.9,5.3,12.5,16.6,16.7,16.5,12.8,10.8,6.1,3.4,0.8,7.2,16.6,9.9,8.63
1978,1.8,-1.0,3.0,5.6,12.7,16.2,15.6,16.7,12.1,10.2,7.9,0.1,1.4,7.1,16.2,10.1,8.68
1979,-2.5,-2.3,1.6,5.7,12.1,16.3,14.9,16.0,13.3,8.7,5.0,2.7,-1.6,6.5,15.7,9.0,7.41
1980,-1.1,-0.8,0.9,7.0,11.0,15.9,17.1,16.2,14.2,8.7,4.4,2.9,0.3,6.3,16.4,9.1,8.02
1981,0.0,1.2,3.4,6.8,13.1,14.9,16.6,16.6,14.1,8.5,5.3,-1.9,1.4,7.8,16.0,9.3,8.62
1982,-2.4,-0.6,4.1,7.3,11.6,15.4,18.9,17.9,14.4,10.9,6.9,3.3,-1.6,7.7,17.4,10.7,8.54
1983,4.9,0.2,4.4,7.1,11.8,16.2,19.3,18.5,14.1,10.1,4.6,2.2,2.8,7.8,18.0,9.6,9.54
1984,1.7,0.7,1.6,8.0,12.5,14.9,17.0,18.1,12.5,11.4,6.7,3.1,1.5,7.4,16.7,10.2,8.94
1985,-4.2,-4.6,1.4,5.4,12.9,14.9,17.3,16.6,12.7,10.4,3.1,3.2,-1.9,6.6,16.3,8.7,7.42
1986,-0.3,-4.2,1.6,5.0,12.6,16.4,17.5,16.1,11.4,9.5,7.5,2.8,-0.4,6.4,16.7,9.5,8.03
1987,-4.8,-0.5,-1.2,6.9,10.5,13.2,15.8,15.2,13.1,10.5,6.1,3.5,-0.8,5.4,14.7,9.9,7.30
1988,3.8,2.8,2.1,6.6,13.1,17.6,17.8,16.8,14.2,9.1,3.7,3.9,3.4,7.3,17.4,9.0,9.26
1989,4.8,4.9,5.9,7.3,13.3,16.6,18.4,16.3,14.6,10.6,5.0,2.5,4.5,8.8,17.1,10.1,10.13
1990,4.2,5.9,6.6,8.9,14.0,16.3,17.2,17.8,12.6,10.3,4.9,2.8,4.2,9.8,17.1,9.3,10.10
1991,2.4,-0.1,4.7,7.4,10.8,12.8,18.9,18.0,14.4,9.5,5.5,3.2,1.7,7.6,16.6,9.8,8.93
1992,2.9,3.5,4.5,7.1,14.6,18.9,19.0,17.6,13.6,7.1,5.4,3.4,3.2,8.7,18.5,8.7,9.78
1993,2.6,1.6,3.7,8.6,15.0,15.4,15.6,15.3,11.4,7.9,2.8,2.9,2.5,9.1,15.4,7.4,8.61
1994,3.0,-0.7,3.9,8.8,12.1,14.7,21.5,18.3,13.7,8.4,6.7,4.4,1.7,8.3,18.2,9.6,9.44
1995,0.7,4.0,3.4,7.0,11.3,15.3,18.5,19.4,13.5,12.1,3.8,-1.2,3.0,7.2,17.7,9.8,9.45
1996,-1.4,-2.5,0.3,7.9,9.7,14.8,15.8,18.5,12.3,10.0,5.1,-0.4,-1.7,6.0,16.4,9.1,7.44
1997,-1.0,3.1,4.3,6.3,11.1,16.5,18.8,22.0,14.4,8.4,5.2,3.1,0.6,7.2,19.1,9.3,9.06
1998,2.8,5.6,3.8,7.7,13.1,15.2,15.6,15.8,14.2,9.2,2.6,1.9,3.8,8.2,15.5,8.7,9.06
1999,2.5,1.3,4.0,8.8,11.5,15.5,19.1,17.7,17.1,10.0,6.1,2.8,1.9,8.1,17.4,11.1,9.62
2000,3.0,4.1,4.4,9.8,13.9,15.2,16.3,16.5,13.9,12.0,8.1,4.5,3.3,9.4,16.0,11.3,10.00
2001,3.0,1.3,2.1,6.7,13.1,14.5,19.3,18.1,13.2,12.4,5.5,1.0,2.9,7.3,17.3,10.4,9.48
2002,2.7,4.5,4.9,7.7,13.7,16.8,18.6,20.8,15.4,7.7,4.9,0.5,2.7,8.8,18.7,9.3,9.89
2003,0.5,-1.0,3.9,7.4,12.7,16.9,19.1,18.8,14.8,7.0,7.3,4.4,0.0,8.0,18.3,9.7,8.99
2004,-0.3,2.2,4.3,8.8,12.4,14.5,16.0,18.9,14.6,10.2,5.6,4.1,2.1,8.5,16.5,10.1,9.30
2005,3.6,0.7,1.9,8.3,12.2,15.0,18.9,16.6,15.3,11.5,6.4,2.7,2.8,7.5,16.8,11.1,9.54
2006,-0.6,0.6,0.2,6.6,12.3,16.9,21.7,18.1,17.0,12.8,8.1,7.2,0.9,6.4,18.9,12.6,9.70
2007,5.1,2.3,7.0,9.9,13.2,17.4,16.7,17.9,13.7,9.3,5.5,4.1,4.9,10.0,17.3,9.5,10.43
2008,4.3,5.2,4.2,8.4,13.5,16.2,18.8,17.8,14.0,10.2,6.5,3.3,4.5,8.7,17.6,10.2,10.27
2009,1.3,0.9,4.2,10.5,12.7,15.1,19.0,18.7,15.4,8.3,7.7,1.8,1.8,9.1,17.6,10.5,9.76
2010,-2.4,-1.1,3.4,8.0,10.6,15.4,20.6,17.5,13.4,8.8,3.9,-3.1,-0.6,7.3,17.8,8.7,8.33
2011,0.4,0.2,3.6,11.1,12.7,16.8,17.8,17.2,14.9,10.2,7.3,4.7,-0.8,9.1,17.3,10.8,9.09
